render_frame,surface_index,source_frame_id,source_time,source_iteration,source_path,source_sha256,output_path
20,20,visual_0020,0.1,537,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0020.facets,5ce6ecf9eb594b2771e8328ad03682e12c9fe88cad5c605803b9fa8ff7d2895c,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0020.png
21,21,visual_0021,0.105,563,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0021.facets,4ba00b157143616ead104e6ae3c3ffb50ac2b0c585c613aa8a128f2596d6f85f,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0021.png
22,22,visual_0022,0.11,588,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0022.facets,1d11869ddf290c8e3d54c16838d8191410ca0557b6f1ed232b3668b27ce665a9,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0022.png
23,23,visual_0023,0.115,613,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0023.facets,cd18ce9b2aca63dce6ce0294a2c38a066d7cc73c62092b6fb8e5d73260e462d7,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0023.png
24,24,visual_0024,0.12,638,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0024.facets,ac325a37a92a830a81fd05935edb112a9228c6463f1e6d5e76c0720a7fab2b68,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0024.png
25,25,visual_0025,0.125,674,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0025.facets,b3e3be0592af0c405c551fcc322cc2c8f0eeab7ca9f0b55b21beb346f49ef1f8,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0025.png
26,26,visual_0026,0.13,700,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0026.facets,c597011a80ac22c9155b1b840288718623b0685accbf5e0833acefadfd18a76c,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0026.png
27,27,visual_0027,0.135,726,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0027.facets,ebd0dfba8437c90bd82449a15f194893e0316f0b1f3927638e193d2476662cc7,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0027.png
28,28,visual_0028,0.14,752,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0028.facets,9454785173b244f652d19e3f603ae95bab0524f309a1c73dd2d33dc93ea8bd53,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0028.png
29,29,visual_0029,0.145,778,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/03_full_domain_l7_reference/vof_surfaces/vof_facets_0029.facets,cea0187d7a41b3e10663b7b0707574132df6571cc3793acd76f0adae5dc6d8f8,/home/franco/stack-validation/20260622-basilisk-internal-nozzle-convergence-visual-batch/07_gpu_blender_portfolio_assets/frames/sequence/sequence_0029.png
